It  VecImage        AuxRe2        AuxRe3
0  17828.9134199134   17828.9134199134   59742.3394428105
1  17828.9134199134   8275.77267439393   55418.9927835552
2  17828.9134199134   3316.49348285714   57024.2933403201
3  17828.9134199134   2086.68561066667   40484.6982755316
4  17828.9134199134   1973.84273165368   39017.812398388
5  17828.9134199134   1921.70999272294   38389.0499719979
6  17828.9134199134   1897.33651842857   38221.462340154
7  17828.9134199134   1887.72733506061   38075.2596425163
8  17828.9134199134   1885.94136335065   37948.027515404
9  17828.9134199134   1888.86631030303   37823.1430301559
10  17828.9134199134   1894.69454507792   37709.8362104072
11  17828.9134199134   1903.20982049783   37598.8498818136
12  17828.9134199134   1913.66327299567   37495.875996216
13  17828.9134199134   1925.96062993939   37397.6132143707
14  17828.9134199134   1939.45772825108   37306.6949067009
15  17828.9134199134   1953.7530011342   37226.7597577746
16  17828.9134199134   1968.5520532987   37149.89337509
17  17828.9134199134   1983.88648217316   37071.4231404071
18  17828.9134199134   1999.58241809957   36990.7269694992
19  17828.9134199134   2015.61620664069   36911.6949225986
20  17828.9134199134   2031.82896399134   36834.341312978
21  17828.9134199134   2048.31614429437   36758.0259755603
22  17828.9134199134   2065.04925006493   36683.7037655923
23  17828.9134199134   2082.05569771429   36609.3947455881
24  17828.9134199134   2099.25887212554   36533.9288049278
25  17828.9134199134   2116.66136979654   36459.1472856843
26  17828.9134199134   2134.26300288312   36384.9937674058
27  17828.9134199134   2152.00830463636   36308.983466443
28  17828.9134199134   2169.94569937229   36232.5171114524
29  17828.9134199134   2188.01120505195   36155.1558733536
30  17828.9134199134   2206.29942244589   36078.6075302919
31  17828.9134199134   2224.82736445455   36001.4302558207
32  17828.9134199134   2243.5561124329   35922.7931218416
33  17828.9134199134   2262.46672798701   35844.0853347567
34  17828.9134199134   2281.62334878355   35765.3261426159
35  17828.9134199134   2301.01410283117   35685.7515277728
36  17828.9134199134   2320.62924380087   35605.345249139
37  17828.9134199134   2340.44228090043   35523.001610955
38  17828.9134199134   2360.54567552814   35440.3044722789
39  17828.9134199134   2380.90283595671   35356.9610875281
40  17828.9134199134   2401.5402231948   35272.7773941704
41  17828.9134199134   2422.45472107792   35188.5195386766
42  17828.9134199134   2443.63772768831   35103.6495393461
43  17828.9134199134   2465.09645074026   35020.4230358066
44  17828.9134199134   2486.81024242424   34937.5146717394
45  17828.9134199134   2508.74735332467   34855.1946906967
46  17828.9134199134   2530.89134793939   34771.5797677486
47  17828.9134199134   2553.24552412554   34687.6576463915
48  17828.9134199134   2575.8468332987   34602.1664794984
49  17828.9134199134   2598.69941823809   34516.0854584794
50  17828.9134199134   2621.82519790476   34429.2563516857
51  17828.9134199134   2645.22915128138   34341.6239438269
52  17828.9134199134   2668.94503287013   34252.3490705026
53  17828.9134199134   2692.98554461039   34161.7529789068
54  17828.9134199134   2717.38074628571   34070.7623850564
55  17828.9134199134   2742.13810240693   33978.7710175636
56  17828.9134199134   2767.26304035498   33887.1051499764
57  17828.9134199134   2792.71554168831   33794.140255854
58  17828.9134199134   2818.55705275325   33699.6299208083
59  17828.9134199134   2844.80729751082   33603.7197287362
60  17828.9134199134   2871.46475146753   33506.3541397912
61  17828.9134199134   2898.54485170563   33408.4372199631
62  17828.9134199134   2926.04866726407   33309.5335613614
63  17828.9134199134   2954.00490553247   33209.2510424972
64  17828.9134199134   2982.44264002597   33108.2007375688
65  17828.9134199134   3011.38786952381   33005.3977999348
66  17828.9134199134   3040.8609131948   32901.3994140699
67  17828.9134199134   3070.87657812987   32796.6807371913
68  17828.9134199134   3101.43438529004   32689.8151778273
69  17828.9134199134   3132.58799051515   32580.9024056318
70  17828.9134199134   3164.36761298268   32469.5428267653
71  17828.9134199134   3196.80019023809   32356.1468334893
72  17828.9134199134   3229.94399218615   32240.0856488389
73  17828.9134199134   3263.85316125541   32122.546811531
74  17828.9134199134   3298.50927704762   32002.6177186215
75  17828.9134199134   3333.9754130303   31880.8267516971
76  17828.9134199134   3370.27686763203   31757.0175303136
77  17828.9134199134   3407.41599116017   31629.7747216778
78  17828.9134199134   3445.47526800433   31499.8225769272
79  17828.9134199134   3484.50440554112   31366.3783372837
80  17828.9134199134   3524.5770391645   31230.1605718012
81  17828.9134199134   3565.78919330736   31092.3035854918
82  17828.9134199134   3608.11984099134   30952.3135300271
83  17828.9134199134   3651.59869408658   30810.3723723398
84  17828.9134199134   3696.28012830736   30665.2461545837
85  17828.9134199134   3742.25070222078   30517.335516803
86  17828.9134199134   3789.54217312121   30367.3115210366
87  17828.9134199134   3838.14997402164   30214.834652228
88  17828.9134199134   3888.14004890476   30058.8491922141
89  17828.9134199134   3939.60028674459   29901.229100705
90  17828.9134199134   3992.52280492208   29741.3971123089
91  17828.9134199134   4046.92351806493   29579.9064237691
92  17828.9134199134   4102.82250852381   29415.5215528711
93  17828.9134199134   4160.29790680952   29248.775777283
94  17828.9134199134   4219.37253514719   29078.7075313502
95  17828.9134199134   4280.08617551515   28904.9796586738
96  17828.9134199134   4342.50933424675   28727.6411161802
97  17828.9134199134   4406.68823126407   28547.2852717404
98  17828.9134199134   4472.68990196104   28363.5003180955
99  17828.9134199134   4540.55546033333   28173.9831504488
100  17828.9134199134   4610.40076834632   27978.8790785762
101  17828.9134199134   4682.2859408961   27778.3539435939
102  17828.9134199134   4756.2717694329   27795.6502552436
103  17828.9134199134   4827.16881045454   27815.5555232521
104  17828.9134199134   4895.14945301298   27788.4182236475
105  17828.9134199134   4961.59912209524   27734.7360230591
106  17828.9134199134   5027.35926274459   27665.7825644153
107  17828.9134199134   5092.91280124675   27589.0291026954
108  17828.9134199134   5158.46911853247   27507.6686576038
109  17828.9134199134   5224.1759461948   27424.8472887502
110  17828.9134199134   5290.04478310389   27339.1940179937
111  17828.9134199134   5356.18532423809   27251.2110369509
112  17828.9134199134   5422.6266117619   27161.9298533054
113  17828.9134199134   5489.42420584848   27071.8355109075
114  17828.9134199134   5556.61843984848   26981.4342387591
115  17828.9134199134   5624.21459382684   26891.2401622053
116  17828.9134199134   5692.21527807359   26801.0147207398
117  17828.9134199134   5760.6337284329   26710.7873010864
118  17828.9134199134   5829.46306511255   26620.6373266592
119  17828.9134199134   5898.72106355411   26529.9327522245
120  17828.9134199134   5968.44569593506   26440.4097649337
121  17828.9134199134   6038.62298134199   26351.9995940087
122  17828.9134199134   6109.20130733766   26263.3528932232
123  17828.9134199134   6180.18286770996   26175.3154752988
124  17828.9134199134   6251.59605363636   26100.7778376972
125  17828.9134199134   6322.98920612121   26029.0156568102
126  17828.9134199134   6394.32229000866   25954.7983370636
127  17828.9134199134   6465.74350296104   25878.7454297365
128  17828.9134199134   6537.31331706926   25801.7967246508
129  17828.9134199134   6609.1087334026   25726.4652627624
130  17828.9134199134   6681.08277897403   25651.2786081973
131  17828.9134199134   6753.24191770996   25575.8920010853
132  17828.9134199134   6825.59427239394   25500.236023634
133  17828.9134199134   6898.17462503463   25422.8381554548
134  17828.9134199134   6971.05100193074   25346.6080880052
135  17828.9134199134   7044.20357199567   25269.4828366211
136  17828.9134199134   7117.66839899567   25193.1553563306
137  17828.9134199134   7191.44320325974   25116.3033705539
138  17828.9134199134   7265.54991111255   25041.0408911484
139  17828.9134199134   7339.92398890909   24964.8184883631
140  17828.9134199134   7414.6006607316   24889.9248758002
141  17828.9134199134   7489.5493617619   24814.8433602616
142  17828.9134199134   7564.77840597403   24739.0769966672
143  17828.9134199134   7640.33717511255   24667.7468363961
144  17828.9134199134   7716.0599681948   24653.4281975884
145  17828.9134199134   7789.85206407359   24658.3282800567
146  17828.9134199134   7861.31135081385   24651.181511074
147  17828.9134199134   7931.05173716883   24639.2324060756
148  17828.9134199134   7999.35614745021   24624.4058657249
149  17828.9134199134   8066.33636796969   24608.0476563403
150  17828.9134199134   8132.07646065801   24588.5293339273
151  17828.9134199134   8196.70359295671   24566.4608669555
152  17828.9134199134   8260.37315868398   24543.7734689913
153  17828.9134199134   8323.1111291342   24518.8604505363
154  17828.9134199134   8385.01777335931   24498.4211194008
155  17828.9134199134   8445.9591956407   24476.7662449356
156  17828.9134199134   8506.03823892641   24452.0663137134
157  17828.9134199134   8565.39938538528   24427.408930177
158  17828.9134199134   8624.03485120779   24402.5684288163
159  17828.9134199134   8681.98653892208   24375.9136561814
160  17828.9134199134   8739.35320192208   24347.9552990168
161  17828.9134199134   8796.18375691342   24320.9337321482
162  17828.9134199134   8852.45751522511   24292.2003656285
163  17828.9134199134   8908.27750193074   24262.5828608527
164  17828.9134199134   8963.69695117316   24233.2866704698
165  17828.9134199134   9018.68640042425   24202.3864152281
166  17828.9134199134   9073.35667992641   24171.9936221327
167  17828.9134199134   9127.69151792641   24143.0728754868
168  17828.9134199134   9181.64346089178   24112.7091894717
169  17828.9134199134   9235.30634989178   24081.7140984513
170  17828.9134199134   9288.72391287446   24050.1448724097
171  17828.9134199134   9341.93986821212   24018.3397713126
172  17828.9134199134   9394.95187276191   23986.4202867755
173  17828.9134199134   9447.77432351948   23954.5587677177
174  17828.9134199134   9500.41972061039   23922.2556539036
175  17828.9134199134   9552.92242954113   23889.2813486501
176  17828.9134199134   9605.32402249784   23856.4798699407
177  17828.9134199134   9657.63443640693   23823.2086840365
178  17828.9134199134   9709.88876440693   23790.0301255969
179  17828.9134199134   9762.07567264069   23757.4365423949
180  17828.9134199134   9814.17231496104   23723.5474535105
181  17828.9134199134   9866.27703390909   23690.6245843638
182  17828.9134199134   9918.31773115584   23656.453672703
183  17828.9134199134   9970.41493161472   23623.2360793176
184  17828.9134199134   10022.4851105584   23588.4662215015
185  17828.9134199134   10074.6561725238   23554.5885129194
186  17828.9134199134   10126.8677307835   23519.0978371258
187  17828.9134199134   10179.2079290649   23485.3575345097
188  17828.9134199134   10231.5575444589   23450.2131248364
189  17828.9134199134   10284.0288857229   23415.5401875407
190  17828.9134199134   10336.583418316   23380.9196919436
191  17828.9134199134   10389.2469049134   23346.326196428
192  17828.9134199134   10441.981112671   23312.1656740218
193  17828.9134199134   10494.7937040087   23278.8307953744
194  17828.9134199134   10547.6686824459   23244.3001994471
195  17828.9134199134   10600.6775584589   23209.8498425546
196  17828.9134199134   10653.7973058355   23173.4315169191
197  17828.9134199134   10707.1991551429   23139.2179902855
198  17828.9134199134   10760.6671714156   23104.7433079385
199  17828.9134199134   10814.2842066277   23070.0527244333
